x1;x2;x3;x4;x5;x6;x7
9,74;1,89;3,6;1,11;3,13;8,02;3,18
1,45;4,69;9,26;0,83;2,4;3,16;7,6
9,86;2,17;2,5;4,1;4,62;0,49;3,12
7,8;1,02;5,44;7,49;3,59;2,41;6,86
6,83;1,69;3,55;7,78;6,38;9,58;5,99
5,17;1,23;4,59;5,47;7,61;7,66;2,47
2,31;4,93;0,37;2,19;5,72;3,52;2,93
2,96;2,75;8,36;6,19;6,28;5,01;6,44
1,48;0,35;3,04;0,6;9,67;3,69;0,23
0,17;0,15;3,28;2,36;7,25;1,47;6
5,44;0,17;4,26;3,96;2,53;1,63;2,1
9,73;2,14;0,58;0,92;1,71;5,23;3,95
8,05;3,12;0,9;5,04;9,05;3,27;1,19
1,76;3,53;0,82;3,69;3,42;0,04;2,55
7,49;0,93;2,45;1,8;0,68;1,51;3,96
4,33;2,42;11,63;5,84;8,18;5,13;1,15
7,99;1,41;1,28;8,34;3,19;2,06;3,27
4,56;0,22;3,97;0,45;7,7;5,98;1,72
0,03;3,43;8,97;7,08;7,45;9,84;7,55
4,52;2,79;4,36;2,57;8,8;6,64;1,52
7,7;2,45;7,17;2,82;5,13;3,48;0,45
5,35;4,83;3,56;3,88;2,19;4,56;2,41
3,88;1,4;11,03;3,12;2,43;0,97;7,1
9,27;2,33;5,91;3,04;7,67;7,76;7,6
6,17;4,99;11,76;3,64;4,27;7,4;4,54
4,55;2,87;10,99;4,51;5,95;6,7;0,71
7,41;3,04;1,71;5,34;3,52;3,05;1,91
7,42;1,6;9,74;9,56;0,06;8,69;3,89
7,85;0,03;0,26;6,22;4,46;8,94;2,29
4,21;4,81;2,83;4,69;8,88;1,26;2,68
6,1;4,41;3,46;6,77;7,05;8,32;0,73
4,28;2,78;4,43;3,05;3,76;4,19;4,34
8,85;0,22;10,96;5,32;9,81;2,57;5,16
7,85;2,4;11,31;1,57;1,14;3,24;6,01
0,62;0,73;5,25;0,69;7,96;3,36;4,09
2,91;2,74;3,37;6,04;3,52;1,22;6,42
1,85;2,04;9,76;0,09;7,31;8,35;3,99
2,75;1,72;7,48;8,81;5,22;3,13;7,38
2,45;3,99;2,3;8,52;8,37;8,26;6,12
4,69;1,29;0,98;4,8;6,69;1,36;1,48
4,49;2,41;3,99;5,62;6,29;0,68;6,14
8,81;1,46;7,59;1,44;4,36;2,22;2,97
4,53;4,75;11,93;8,24;3,38;7,7;2,96
7,24;2,51;7,26;9,53;2,05;9,59;0,68
8,54;1,88;7,06;0,35;2,36;2,33;0,28
1,21;3,28;8,48;8,96;3,86;6,3;5,62
2,39;2,29;8,03;6,69;3,07;0,34;3,91
3,43;4,27;10,61;9,54;1,97;6,69;7,09
1,36;2,43;10,43;3,33;2,02;8,69;7,7
2,18;2,96;4,54;3,8;9,24;9,49;4,5
5,18;2,09;9,9;4,11;3,36;4,41;3,85
3,82;0,01;9,33;3,61;1,03;5,35;2,89
5,64;2,33;0,98;6,09;5,97;6,62;1,25
2,78;2,13;6,88;6,94;3,63;1,89;7,23
6,06;1,07;4,12;2,98;8,05;0,87;1,54
9,24;3,01;2,85;3,7;7,27;9,6;2,7
9,04;4,91;9;2,4;7,14;1,09;6,73
2,67;4,88;1,34;0,7;3,44;0,34;1,63
0,45;0,36;6,94;3,67;8,83;6,13;4,67
0,92;1,53;2,43;8,47;5,07;5,42;7,28
3,16;2,23;11,46;1,75;9,31;1,76;5,11
1,34;3,06;9,81;8,52;0,5;9,89;2,06
6,37;3,54;7,27;0,4;3,82;9,54;5,74
5,23;3,6;2,92;8,02;7,72;4,08;7,54
1,22;3,19;8,82;1,62;2,55;9,26;6,23
4,1;3,42;6,01;9,19;2,27;4,08;1,16
7,5;0,83;10,87;1,58;4,08;0,43;5,93
9,77;0,42;3,92;7,54;8,14;4,19;3,91
5,19;2,96;7,39;4,15;6,39;3,18;2,64
3,28;2,07;11,6;4,19;6,22;6,85;6,47
8,2;3,04;5,6;0,12;0,57;5,51;4,04
4,22;2,67;6,97;5,03;2,54;3,04;4,95
6,57;4,41;1,49;9,84;3,38;2,03;7,83
9,09;4,95;8,49;9,56;5,12;7,5;7,12
0,54;2,46;9,83;5,58;3,34;4,97;3,06
2,86;1,71;9,15;5,51;8,61;1,59;7,47
3,18;0,42;5,34;4,66;0,14;7,64;2,39
7,81;0,42;10,29;5,85;5,47;6,94;3,12
5,32;1,17;1,21;5,96;8,51;9,14;3,72
0,88;2,21;8,29;9,2;5,58;2,66;0,67
5,23;0,23;0,52;6,48;8,51;6,53;7,39
5,51;2,43;6,48;9,77;2,36;0,9;1,87
9,39;1,45;11,26;6,45;8,59;4,93;7,35
8,5;1,96;7,46;9,57;4,67;5,39;5,41
1,5;1,47;7,58;3,44;0,87;6,65;1,2
6,33;1,91;11,39;1,03;1,32;2,89;4,24
4,56;4,84;5,52;8,29;6,91;9,74;4,26
